"";"post_id";"loc";"lat";"lon";"type";"nse";"id";"facebook_id";"message";"candidate";"candidato_id";"distrito_dip";"lista_id";"partido";"mujer";"nacimiento"
"1";"FB_1012";"avenida portugal 84, santiago, Region Metropolitana, Chile";-33,4422791;-70,6381755;"ROOFTOP";99,21424187;"675808555953826_729711500563531";675808555953826;"Hoy estuvimos en la Facultad de Arquitectura de la Universidad de Chile junto a la Coordinadora de Pobladores Newen hablando sobre #NoAlMallVivo y ahora volanteando en Santiago centro junto a nuestro equipo:";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"2";"FB_1015";"feria Santa Carolina, Macul, Region Metropolitana, Chile";-33,4850282;-70,6094628;"GEOMETRIC_CENTER";88,01718846;"675808555953826_730476597153688";675808555953826;"Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"3";"FB_1015";"feria Marathon, Ñuñoa, Region Metropolitana, Chile";-33,4673157;-70,614376;"ROOFTOP";54,54266421;"675808555953826_730476597153688";675808555953826;"Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"4";"FB_1015";"feria 10 de julio, Santiago, Region Metropolitana, Chile";-33,4517011;-70,6315297;"ROOFTOP";91,85021486;"675808555953826_730476597153688";675808555953826;"Último domingo<U+2600><U+FE0F> estuvimos en las ferias Santa Carolina de Macul, Marathon de Ñuñoa y 10 de julio y
Aldunate de Santiago. Este 19 vota Frente Amplio, vota mujer: Beatriz Sánchez presidenta, #RosarioOlivaresDiputada G62";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"5";"FB_1016";"barrio Huemul, Santiago, Region Metropolitana, Chile";-33,474624;-70,6511298;"ROOFTOP";52,40638428;"675808555953826_730590713808943";675808555953826;"Terminando el último domingo de campaña tal como el primero: conversando con las y los vecinos. Esta vez recorrimos la Villa Olímpica y plaza Sucre de Ñuñoa y el barrio Huemul de Santiago. Este 19 de noviembre vota Frente Amplio Chile, vota mujer: Beatriz Sánchez presidenta, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3>";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"6";"FB_1016";"villa olimpica, ñuñoa, Region Metropolitana, Chile";-33,4625335;-70,6201286;"ROOFTOP";93,73235114;"675808555953826_730590713808943";675808555953826;"Terminando el último domingo de campaña tal como el primero: conversando con las y los vecinos. Esta vez recorrimos la Villa Olímpica y plaza Sucre de Ñuñoa y el barrio Huemul de Santiago. Este 19 de noviembre vota Frente Amplio Chile, vota mujer: Beatriz Sánchez presidenta, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja <ed><U+00A0><U+00BD><ed><U+00B7><U+00B3>";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"7";"FB_1021";"Villa Frei, ñuñoa, Region Metropolitana, Chile";-33,4547576;-70,580221;"GEOMETRIC_CENTER";90,91712707;"675808555953826_731819917019356";675808555953826;"¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"8";"FB_1021";"metro Los Héroes, santiago, Region Metropolitana, Chile";-33,4466032;-70,6612239;"GEOMETRIC_CENTER";89,14303254;"675808555953826_731819917019356";675808555953826;"¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"9";"FB_1021";"salvador suarez mujica, ñuñoa, Region Metropolitana, Chile";-33,4590551;-70,6209337;"GEOMETRIC_CENTER";94,30325353;"675808555953826_731819917019356";675808555953826;"¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
"10";"FB_1021";"suarez mujica, ñuñoa, Region Metropolitana, Chile";-33,4598881;-70,6128847;"GEOMETRIC_CENTER";91,08778392;"675808555953826_731819917019356";675808555953826;"¡Penúltimo día de campaña! Partimos temprano en Salvador y Suárez Mujica, para continuar en la Villa Frei, metro Los Héroes y finalmente el arengazo por Beatriz Sánchez, que mañana cerrará su campaña en Concepción. ¡Este 19 vota G62, Rosario Olivares diputada para Santiago, Macul, Providencia, San Joaquín, Ñuñoa y La Granja!";"ROSARIO OLIVARES";"10-G62";"10";"G";"PEV";1;"1983-01-26"
